item_id,name,category,price,short_description,designer,depth,height,width
29286078,PAX,Wardrobes,1870,Wardrobe: 250x60x201 cm,Ehlén Johansson/IKEA of Sweden,60,201,250
19303380,PAX,Wardrobes,1870,Wardrobe: 150x44x236 cm,Ehlén Johansson/IKEA of Sweden,44,236,150
9259702,LISABO / ODGER,Chairs,1875,Table and 4 chairs: 140x78 cm,K Hagberg/M Hagberg/J Löfgren/J Pettersson,No Record,74,78
59305042,LISABO / ODGER,Chairs,1875,Table and 4 chairs: 140x78 cm,K Hagberg/M Hagberg/J Löfgren/J Pettersson,No Record,74,78
99239489,NORDLI,Chests of drawers & drawer units,1880,Chest of 12 drawers: 120x145 cm,Ola Wihlborg,47,145,120
89305795,PAX,Wardrobes,1890,Wardrobe: 150x66x236 cm,IKEA of Sweden/Ehlén Johansson,66,236,150
89256262,GRÖNLID,Chairs,1895,Chaise longue,Francis Cayouette,164,104,117
20359154,VADHOLMA,Trolleys,1895,Kitchen island: 126x79x90 cm,Ebba Strandmark,79,90,126
60327774,MALSJÖ,TV & media furniture,1895,TV bench with sliding doors: 160x48x59 cm,Carina Bengs,48,59,160
79291398,PLATSA,TV & media furniture,1899.5,Media storage combination: 300x42x221 cm,IKEA of Sweden,42,221,300
99266053,HAVSTA,Cabinets & cupboards,1900,Storage combination w glass-doors: 162x37x134 cm,IKEA of Sweden,37,134,162
39265481,SJÄLLAND,Outdoor furniture,1900,Table+4 reclining chairs:  outdoor: 156x90 cm,David Wahl,No Record,73,90
9253639,VIMLE,Sofas & armchairs,1900,Cover for corner sofa:  4-seat,Ehlén Johansson,98,80,235
10397745,GRÖNLID,Sofas & armchairs,1900,2-seat section,Francis Cayouette,94,104,141
79217921,VIMLE,Sofas & armchairs,1910,Cover for u-shaped sofa:  6-seat,Ehlén Johansson,No Record,No Record,No Record
89275265,STUVA / FÖLJA,Beds,1915,Loft bed combo w 2 drawer/2 doors: 207x99x182 cm,IKEA of Sweden/Ebba Strandmark,No Record,182,No Record
49157546,ELVARLI,Wardrobes,1926,3 sections: 178x51x222-350 cm,Ehlén Johansson,51,No Record,178
79305852,PAX,Wardrobes,1940,Wardrobe: 150x44x236 cm,IKEA of Sweden/Ehlén Johansson,44,236,150
9296950,PAX,Wardrobes,1940,Wardrobe: 150x44x236 cm,Ehlén Johansson/IKEA of Sweden,44,236,150
59330112,PAX / AULI,Wardrobes,1940,Wardrobe combination: 150x44x236 cm,IKEA of Sweden/Ehlén Johansson,44,236,150
89277486,VALLENTUNA,Chairs,1948,Sofa-bed module with backrests,IKEA of Sweden/Fredriksson/L Löwenhielm/Hilland,93,84,113
79265950,HAVSTA,Cabinets & cupboards,1950,Storage combination w glass doors: 162x37x134 cm,IKEA of Sweden,37,134,162
79265945,HAVSTA,Sideboards: buffets & console tables,1950,Storage combination w glass doors: 162x37x134 cm,IKEA of Sweden,37,134,162
99127608,PAX,Wardrobes,1960,Wardrobe: 150x60x201 cm,IKEA of Sweden/Ehlén Johansson,60,201,150
59289424,ÄPPLARÖ,Outdoor furniture,1961,Table+4 chairs w armrests:  outdoor,IKEA of Sweden/K Hagberg/M Hagberg,No Record,No Record,No Record
89315153,ELVARLI,Wardrobes,1970,3 sections: 245x55x216 cm,Ehlén Johansson/IKEA of Sweden,55,216,245
69221339,EKEDALEN / HENRIKSDAL,Chairs,1975,Table and 4 chairs: 120/180 cm,Ehlén Johansson/IKEA of Sweden,No Record,No Record,No Record
69221297,EKEDALEN / ODGER,Chairs,1975,Table and 4 chairs: 120/180 cm,Ehlén Johansson/J Löfgren/J Pettersson,No Record,No Record,No Record
19130501,SLÄHULT/DALSHULT / LEIFARNE,Chairs,1975,Table and 4 chairs: 185 cm,Mia Lagerman/IKEA of Sweden/Wiebke Braasch,No Record,73,90
69221344,EKEDALEN / ODGER,Chairs,1975,Table and 4 chairs: 120/180 cm,Ehlén Johansson/J Löfgren/J Pettersson,No Record,No Record,No Record
69221438,EKEDALEN / ODGER,Chairs,1975,Table and 4 chairs: 120/180 cm,Ehlén Johansson/J Löfgren/J Pettersson,No Record,No Record,No Record
69297230,NORRÅKER / RÖNNINGE,Chairs,1976,Table and 4 chairs: 125x74 cm,Maja Ganszyniec/J Karlsson/N Karlsson,No Record,No Record,74
89297229,NORRÅKER / RÖNNINGE,Chairs,1976,Table and 4 chairs: 125x74 cm,J Karlsson/N Karlsson/Maja Ganszyniec,No Record,No Record,74
99275241,STUVA / FÖLJA,Beds,1980,Loft bed combo w 4 drawers/2 doors: 207x99x182 cm,IKEA of Sweden/Ebba Strandmark,No Record,182,No Record
89323723,IVAR,Bookcases & shelving units,1980,Shelving unit w cabinets/drawers: 259x30x179 cm,IKEA of Sweden,30,179,259
39330735,PAX / MEHAMN/SEKKEN,Wardrobes,1980,Wardrobe combination: 150x66x236 cm,IKEA of Sweden/Ehlén Johansson,66,236,150
